product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
182,Пакеты для корпоратива,7246,41,Товары для дома,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2010-02-03,2018-01-02,2.97,Shipping
183,Пакеты для кемпинга,7697,291,Товары для дома,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2005-02-05,2027-03-02,2.95,Sold
184,Апельсин,8187,527,Фрукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2010-05-14,2024-03-15,4.64,In Stock
185,Брокколи,6309,229,Овощи,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2001-05-05,2027-06-05,4.61,Pending
186,Свекла,1312,228,Овощи,Отличается легкостью в переваривании и усвоении организмом.,2001-02-03,2011-10-01,1.22,Refunded
187,Шпик,5419,778,Мясо,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2018-01-06,2026-07-10,4.14,In Stock
188,Укроп,8872,53,Овощи,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2019-03-06,2024-01-21,2.55,Refunded
189,Кавказская,4394,42,Напитки,Придает блюдам особую нежность и насыщенность.,2008-07-06,2013-05-06,4.45,Shipping
190,Куриные ножки,5743,620,Мясо,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2022-02-08,2029-05-18,2.26,Available for Pickup
191,Кабачок,4150,18,Овощи,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2005-05-02,2022-02-02,1.52,Cancelled
192,Брынза,207,786,Молочные продукты,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2001-02-17,2014-04-06,2.61,Available for Pickup
193,Архыз,4834,740,Напитки,Отличается способностью повышать общий тонус и работоспособность.,2002-04-04,2029-03-20,0.4,Awaiting Payment
194,Блендер,2530,4,Товары для дома,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2001-04-11,2030-05-04,0.54,Backorder
195,Каша из дробленной перловой крупы,4780,232,Бакалея,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,1999-01-11,2001-01-13,2.34,Cancelled
196,Стаканы,113,862,Товары для дома,Подходит для использования в рационе людей с повышенным давлением.,2001-01-15,2005-01-03,4.3,Delivered
197,Патиссон,8964,336,Овощи,Помогает поддерживать нормальный уровень гемоглобина в крови.,2008-04-01,2030-01-12,3.13,Backorder
