Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
181,Куриные субпродукты,5601,178,Мясо,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2004-01-01,2010-02-04,0.32,Delivered
182,Брюква,6785,554,Овощи,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1993-03-24,2015-01-20,4.34,Sold
183,Репа,5341,781,Овощи,Помогает нормализовать артериальное давление и уровень холестерина.,2000-03-04,2009-03-23,3.36,Available for Pickup
184,Полотенца кухонные,5571,455,Товары для дома,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2022-01-03,2030-01-07,1.49,In Stock
185,Марьинская,4314,837,Напитки,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2012-11-06,2020-02-09,0.27,Pending
186,Творог,5970,471,Бакалея,Помогает поддерживать нормальный обмен веществ и метаболизм.,1998-04-01,2008-01-01,4.52,Pending
187,Сервелат,7522,957,Мясо,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2007-02-05,2028-11-01,2.73,Sold
188,Алуштинская,7353,419,Напитки,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",1996-05-11,1997-06-03,0.27,On Backorder
189,Бастурма,9148,334,Мясо,"Подходит для использования в диетах, направленных на снижение веса.",2000-02-01,2007-02-18,4.96,Backorder
190,Каша из проса,893,263,Бакалея,Является важным компонентом сбалансированного рациона питания.,1992-04-06,2002-11-03,2.91,Backorder
191,Сок яблочный,2561,393,Напитки,Отличается гипоаллергенностью и безопасностью для большинства людей.,1995-02-02,2017-03-03,3.45,Awaiting Payment
192,Спаржа,5075,816,Овощи,Прошел строгий контроль качества на всех этапах производства.,1993-04-22,2029-02-13,0.43,Awaiting Payment
193,Нектарин,7487,221,Фрукты,Отличается высокой степенью очистки и отсутствия посторонних примесей.,1994-02-16,2028-04-18,1.29,Awaiting Payment
194,Смородина,4221,129,Фрукты,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2003-06-09,2024-06-01,3.25,Temporarily Unavailable
195,Роллы с мясом,7416,255,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1990-03-13,2011-01-04,0.9,Refunded
196,Чеддер,674,799,Молочные продукты,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2006-01-10,2015-01-08,3.32,Pending
197,Персик,9069,842,Фрукты,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2009-01-06,2013-08-03,3.24,Pending
198,Шампунь,1097,453,Товары для дома,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2011-11-11,2025-05-01,3.42,Cancelled
